District,PricePerMeterSquare,PrefectureId
Quartier administratif,83333,1
Wetirivikondji,83333,1
Adoboukomé,83333,1
Abobokomé,83333,1
Sanguera,83333,1
Kokétimé,83333,1
Agbadahonou,83333,1
Adawlato,83333,1
Béniglato,83333,1
Aguiarkomé,83333,1
Fréau Jardin,83333,1
Kodjoviakopé,66667,1
Nyéconakpoè,66667,1
Octaviano Nétimé,66667,1
Hanoukopé,66667,1
Doulassamé,66667,1
Amoutivé,66667,1
Lomnava,66667,1
Kpehénou,66667,1
Bassadji,66667,1
Bè Apéyémé,66667,1
Souza Nétimé,66667,1
Anthonio Nétimé,66667,1
Kotokou kondji,41667,1
Bè Ahligo,41667,1
Ablogamé,41667,1
Wété,41667,1
Akodéssewa,41667,1
Gbenyédji,41667,1
Bè,41667,1
Tokoin Ouest,41667,1
Tokoin Hopital,41667,1
Tokoin Solidarité,41667,1
Cassablanca,41667,1
Abové,41667,1
Akossombo,41667,1
Tokoin Gbadago,41667,1
Tokoin Elavagnon,41667,1
Tokoin Lycée,41667,1
Gbonvié,41667,1
Dogbéavou,41667,1
Saint Joseph,41667,1
Bè Kpota,41667,1
Akodésséwa Kponou,41667,1
Kanyikopé,41667,1
Adakpamé,41667,1
Akodésséwa Kpota,41667,1
Klikamé,20833,1
Université,20833,1
Doulassamé,20833,1
Tokoin Tamé,20833,1
Tokoin Forever,20833,1
Tokoin Nkafu,20833,1
Tokoin Wuiti,20833,1
Hédzranawoé,20833,1
Tokoin Aéroport,20833,1
Lomé II (Hors cité OUA et caisse),20833,1
Agbalépédogan,20833,1
Totsi-Cacavéli,20833,1
Kelegougan,20833,1
Attiégou,20833,1
Soviépé,20833,1
Avénou Batomé,20833,1
Kégué,20833,1
Aflao Gakli,20833,1
Amandahomé,20833,1
Apédokoè,20833,1
Avédji,20833,1
Sagbado,20833,1
Yokoè,11667,1
Awatamé,11667,1
Gblinkomégan,11667,1
Ségbé,11667,1
Wonyomé,11667,1
Lankouvi,11667,1
Akato,11667,1
Akato-Démé,11667,1
Akato-Viépé,11667,1
Akato-Avoiémé,11667,1
Zone 5,11667,1
Klémé-Agokpanou,11667,1
Dévégo,13333,1
Baguida,13333,1
Avépozo,13333,1
Kpogan,13333,1
Baguida Plantation,13333,1
Kpogan Agodékè,13333,1
Kpogan Agbétiko,13333,1
Kpogan nouveau quartier,13333,1
Adamavo,13333,1
Zone portuaire,166667,1
Résidence du Bénin,166667,1
Résidence de la caisse(Baguida),166667,1
Cité Mokpokpo,166667,1
Cité des anges,166667,1
Well city,166667,1
Résidence de la BOAD,166667,1
Résidence de la BCEAO,166667,1
Baie des anges,166667,1
Cité millénium,166667,1
Cité renaissance,166667,1
Lomé II,166667,1
Sito Aéroport,166667,1
