Name,ZoneNum,Type,PricePerMeterSquare,PrefectureId
Zone 1,1,1,83333,39
Zone 2,2,2,66667,39
Zone 3,3,3,41667,39
Zone 4,4,4,20883,39
Zone 5,5,4,11667,39
Zone 5,5,4,13333,39
Zone 6,6,4,166667,39
Zone 7,7,4,166667,39
Zone 1,1,1,16667,40
Zone 2,2,2,8333,40
Zone 1,1,1,8333,41
Zone 2,2,2,3333,41
Zone 1,1,1,8333,49
Zone 2,2,2,3333,49
Zone 1,1,1,8333,50
Zone 2,2,2,3333,50
Zone 1,1,1,8333,51
Zone 2,2,2,3333,51
Zone 1,1,1,8333,43
Zone 2,2,2,3333,43
Zone 3,3,3,70,43
Zone 1,1,1,6667,42
Zone 2,2,2,3333,42
Zone 3,3,3,20,42
Zone 1,1,1,6667,48
Zone 2,2,2,3333,48
Zone 3,3,3,20,48
Zone 1,1,1,6667,46
Zone 2,2,2,3333,46
Zone 3,3,3,20,46
Zone 3,3,3,60,43
Zone 1,1,1,6667,44
Zone 2,2,2,3333,44
Zone 3,3,3,50,44
Zone 1,1,1,8333,45
Zone 2,2,2,3333,45
Zone 3,3,3,20,45
Zone 3,3,3,20,51
Zone 1,1,1,3333,47
Zone 2,2,2,1667,47
Zone 3,3,3,20,47
Zone 1,1,1,5000,52
Zone 2,2,2,2500,52
Zone 3,3,3,20,52
Zone 3,3,3,25,49
Zone 3,3,3,15,50
Zone 1 et 2,8,4,3333,53
Zone 3,3,3,10,53
Zone 1 et 2,8,4,3333,66
Zone 3,3,3,10,66
Zone 1 et 2,8,4,3333,65
Zone 3,3,3,10,65
Zone 1 et 2,8,4,3333,70
Zone 3,3,3,10,70
Zone 1 et 2,8,4,3333,71
Zone 3,3,3,10,71
Zone 1 et 2,8,4,3333,60
Zone 3,3,3,10,60
Zone 1 et 2,8,4,3333,54
Zone 3,3,3,10,54
Zone 1 et 2,8,4,3333,55
Zone 3,3,3,10,55
Zone 1 et 2,8,4,3333,58
Zone 3,3,3,10,58
Zone 1 et 2,8,4,3333,68
Zone 3,3,3,10,68
Zone 1 et 2,8,4,3333,76
Zone 3,3,3,10,76
Zone 1 et 2,8,4,3333,56
Zone 3,3,3,40,56
Zone 1 et 2,8,4,3333,59
Zone 3,3,3,15,59
Zone 1 et 2,8,4,3333,62
Zone 3,3,3,15,62
Zone 1 et 2,8,4,3333,57
Zone 3,3,3,15,57
Zone 1 et 2,8,4,3333,69
Zone 3,3,3,15,69
Zone 1 et 2,8,4,3333,61
Zone 3,3,3,20,61
Zone 1 et 2,8,4,3333,64
Zone 3,3,3,20,64
Zone 3,3,3,20,74
Zone 1 et 2,8,4,3333,74
Zone 3,3,3,15,73
Zone 1 et 2,8,4,3333,73
Zone 1 et 2,8,4,3333,63
Zone 3,3,3,17.5,63
Zone 1 et 2,8,4,3333,75
Zone 3,3,3,17.5,75
Zone 1 et 2,8,4,3333,67
Zone 3,3,3,7.5,67
